List,0
List Heuristic,1
Tree,2
Tree p.c,3
Nodes.n,DisjointType,Union time
108,1,0.03257449999999795
108,2,0.12865830000000122
108,3,0.0499132000000011
109,0,0.057719500000000146
109,1,0.03320349999999794
109,2,0.13395900000000105
109,3,0.051038200000001144
110,0,0.058392800000000245
110,1,0.03391179999999783
110,2,0.13833950000000117
110,3,0.05292720000000095
111,0,0.059492300000000276
111,1,0.035118799999997785
111,2,0.14697590000000127
111,3,0.05482380000000098
112,0,0.060700200000000315
112,1,0.03726449999999781
112,2,0.15606450000000116
112,3,0.05735510000000077
113,0,0.0614344
113,1,0.03811409999999782
113,2,0.16146550000000115
113,3,0.05878610000000051
114,0,0.06254239999999989
114,1,0.03934759999999793
114,2,0.17078250000000095
114,3,0.06069280000000066
115,0,0.06346549999999995
115,1,0.04030529999999777
115,2,0.1761080000000006
115,3,0.06230710000000106
116,0,0.06450539999999982
116,1,0.04137749999999807
116,2,0.18155250000000045
116,3,0.06413420000000092
117,0,0.06515889999999969
117,1,0.04206239999999806
117,2,0.1850995000000002
117,3,0.06521200000000094
118,0,0.06625389999999998
118,1,0.04261459999999806
118,2,0.18736780000000008
118,3,0.06598330000000074
119,0,0.06742060000000016
119,1,0.04378939999999831
119,2,0.1947177
119,3,0.06806930000000055
120,0,0.06820249999999994
120,1,0.044510399999998285
120,2,0.19870089999999996
120,3,0.0691886000000006
121,0,0.06933200000000017
121,1,0.04565629999999832
121,2,0.20566249999999986
121,3,0.07107350000000046
122,0,0.07050460000000003
122,1,0.04686619999999797
122,2,0.21289239999999987
122,3,0.07299120000000037
123,0,0.07168080000000021
123,1,0.04800069999999801
123,2,0.2209827999999998
123,3,0.07484340000000045
124,0,0.0728987000000001
124,1,0.049169699999997984
124,2,0.2282598
124,3,0.07747420000000038
125,0,0.07439209999999985
125,1,0.05048269999999766
125,2,0.23834579999999983
125,3,0.07979460000000071
126,0,0.07544100000000009
126,1,0.05145569999999733
126,2,0.24445989999999984
126,3,0.08157690000000062
127,0,0.07637880000000008
127,1,0.052273199999997466
127,2,0.2497467000000002
127,3,0.0829094000000008
128,0,0.0778219
128,1,0.05354059999999716
128,2,0.25949040000000023
128,3,0.08490210000000098
129,0,0.0785247
129,1,0.054116099999997225
129,2,0.26301090000000027
129,3,0.08587580000000128
130,0,0.07986640000000023
130,1,0.05537109999999723
130,2,0.27280770000000043
130,3,0.08813150000000136
131,0,0.08136450000000028
131,1,0.05683399999999761
131,2,0.2865287000000003
131,3,0.09056090000000139
132,0,0.08250160000000051
132,1,0.05782469999999762
132,2,0.2951906000000002
132,3,0.09231200000000173
133,0,0.08320470000000046
133,1,0.05836389999999758
133,2,0.29750580000000015
133,3,0.09310560000000145
134,0,0.08483000000000063
134,1,0.06007639999999759
134,2,0.3088282000000002
134,3,0.09592170000000144
135,0,0.08653790000000061
135,1,0.0617057999999977
135,2,0.3246899999999999
135,3,0.09870560000000128
136,0,0.0872831000000005
136,1,0.0624218999999977
136,2,0.3289445
136,3,0.09977370000000163
137,0,0.11714760000000046
137,1,0.06345369999999795
137,2,0.3371696000000002
137,3,0.1015158000000016
138,0,0.11848400000000048
138,1,0.06460029999999817
138,2,0.34512080000000056
138,3,0.10343790000000141
139,0,0.12010980000000071
139,1,0.06618709999999828
139,2,0.3583319000000009
139,3,0.10604570000000169
140,0,0.12142010000000081
140,1,0.06741569999999841
140,2,0.36618800000000107
140,3,0.1077054000000015
141,0,0.12237050000000105
141,1,0.0682868999999986
141,2,0.371718200000001
141,3,0.10901080000000118
142,0,0.12294570000000071
142,1,0.06876119999999863
142,2,0.37375320000000123
142,3,0.10965890000000145
143,0,0.12544810000000073
143,1,0.07057829999999887
143,2,0.3889507000000014
143,3,0.11281320000000128
144,0,0.1274990000000007
144,1,0.07266579999999889
144,2,0.4101746000000013
144,3,0.11632940000000125
145,0,0.1283758000000006
145,1,0.07345269999999893
145,2,0.41423470000000107
145,3,0.11743680000000123
146,0,0.12889940000000077
146,1,0.07397549999999864
146,2,0.41555120000000123
146,3,0.11792820000000126
147,0,0.13092200000000087
147,1,0.07596179999999864
147,2,0.43298210000000115
147,3,0.1210487000000009
148,0,0.1314740000000012
148,1,0.07638789999999895
148,2,0.43516860000000124
148,3,0.12164410000000081
149,0,0.1324398000000011
149,1,0.077289299999999
149,2,0.4411699000000011
149,3,0.12309360000000091
150,0,0.13327990000000112
150,1,0.07807129999999862
150,2,0.4466778000000011
150,3,0.12430360000000129
151,0,0.13474600000000114
151,1,0.07946199999999859
151,2,0.4564077000000015
151,3,0.1266312000000014
152,0,0.13538830000000113
152,1,0.08000169999999862
152,2,0.45877640000000186
152,3,0.12740920000000178
153,0,0.13731430000000122
153,1,0.08199669999999859
153,2,0.4777893000000022
153,3,0.13119910000000146
154,0,0.1390583000000012
154,1,0.08390409999999848
154,2,0.4922124000000023
154,3,0.1341986000000015
155,0,0.13946980000000142
155,1,0.08426639999999841
155,2,0.4925820000000023
155,3,0.1345393000000017
156,0,0.14165340000000137
156,1,0.0862965999999985
156,2,0.5118529000000023
156,3,0.13809750000000132
157,0,0.14396030000000115
157,1,0.08864539999999854
157,2,0.5390323000000024
157,3,0.14361360000000123
158,0,0.14589330000000134
158,1,0.09068899999999847
158,2,0.5536734000000023
158,3,0.14685680000000123
159,0,0.14651120000000128
159,1,0.09122719999999829
159,2,0.5562420000000023
159,3,0.14795660000000121
160,0,0.14819980000000132
160,1,0.09275579999999861
160,2,0.5715975000000024
160,3,0.15035810000000116
161,0,0.14946690000000107
161,1,0.09376719999999894
161,2,0.5793488000000022
161,3,0.15202850000000123
162,0,0.150225100000001
162,1,0.09441529999999876
162,2,0.5833304000000026
162,3,0.15294860000000132
163,0,0.1526393000000006
163,1,0.09741909999999887
163,2,0.6067850000000026
163,3,0.15716030000000125
164,0,0.1546804000000006
164,1,0.09934629999999878
164,2,0.6197760000000025
164,3,0.16019750000000132
165,0,0.15711760000000075
165,1,0.10163689999999903
165,2,0.6396812000000027
165,3,0.16416740000000174
166,0,0.15777040000000087
166,1,0.102116399999999
166,2,0.6410691000000028
166,3,0.1647883000000021
167,0,0.16029650000000117
167,1,0.10437009999999924
167,2,0.6640748000000025
167,3,0.1692676000000024
168,0,0.16374670000000124
168,1,0.10740689999999953
168,2,0.6939847000000028
168,3,0.17378240000000234
169,0,0.16513800000000112
169,1,0.10890389999999961
169,2,0.7043191000000024
169,3,0.17576650000000238
170,0,0.16596960000000127
170,1,0.10960509999999957
170,2,0.7079486000000026
170,3,0.17673400000000217
171,0,0.16703930000000122
171,1,0.11067769999999966
171,2,0.7147078000000024
171,3,0.17832350000000186
172,0,0.1676295000000012
172,1,0.1111462999999997
172,2,0.7160126000000022
172,3,0.17936450000000215
173,0,0.16946740000000116
173,1,0.11293989999999976
173,2,0.7301528000000022
173,3,0.18231270000000177
174,0,0.17213420000000124
174,1,0.11557739999999983
174,2,0.7538087000000022
174,3,0.18649650000000162
175,0,0.17392660000000104
175,1,0.1174065999999998
175,2,0.7704635000000022
175,3,0.1898703000000015
176,0,0.17629480000000086
176,1,0.11981129999999984
176,2,0.792498800000002
176,3,0.1941272000000016
177,0,0.17791160000000117
177,1,0.12141160000000006
177,2,0.8075735000000019
177,3,0.19721620000000128
178,0,0.17879560000000128
178,1,0.12225710000000012
178,2,0.8143345000000015
178,3,0.1984098000000014
179,0,0.1798484000000009
179,1,0.1232922000000003
179,2,0.8211496000000018
179,3,0.20044960000000134
180,0,0.18127510000000102
180,1,0.1245516000000002
180,2,0.8300482000000016
180,3,0.2024501000000012
181,0,0.182805000000001
181,1,0.12577340000000037
181,2,0.8403204000000017
181,3,0.20445840000000115
182,0,0.1863471000000012
182,1,0.12867970000000062
182,2,0.8693376000000019
182,3,0.2096914000000012
183,0,0.18937710000000152
183,1,0.13174760000000063
183,2,0.9105086000000018
183,3,0.21501630000000138
184,0,0.19215330000000153
184,1,0.1344842000000006
184,2,0.939642700000002
184,3,0.2195839000000015
185,0,0.1950307000000011
185,1,0.1373591000000003
185,2,0.9762527000000021
185,3,0.2243318000000014
186,0,0.19603720000000102
186,1,0.1379151000000003
186,2,0.9778618000000021
186,3,0.22507460000000123
187,0,0.19745420000000102
187,1,0.13924219999999998
187,2,0.9881408000000023
187,3,0.2270968000000011
188,0,0.19980580000000092
188,1,0.1416447999999999
188,2,1.0107900000000023
188,3,0.2309976000000009
189,0,0.20204860000000124
189,1,0.1440397
189,2,1.0324858000000026
189,3,0.2346804000000009
190,0,0.2048424000000013
190,1,0.1464228000000003
190,2,1.102362000000003
190,3,0.23912700000000098
191,0,0.20699510000000165
191,1,0.1484892000000002
191,2,1.117829600000003
191,3,0.24243520000000118
192,0,0.21092970000000166
192,1,0.1519018000000001
192,2,1.1485588000000027
192,3,0.2487153000000013
193,0,0.21261860000000166
193,1,0.1533831000000001
193,2,1.1603811000000026
193,3,0.25084120000000154
194,0,0.21602650000000168
194,1,0.1574365000000002
194,2,1.2020206000000027
194,3,0.2566211000000014
195,0,0.2177497000000015
195,1,0.1590774000000006
195,2,1.2169387000000027
195,3,0.25919360000000125
196,0,0.21901330000000163
196,1,0.1602529000000006
196,2,1.2268026000000027
196,3,0.26121740000000115
197,0,0.22131510000000132
197,1,0.16255040000000065
197,2,1.2471842000000026
197,3,0.2657904000000013
198,0,0.22425470000000125
198,1,0.16609290000000065
198,2,1.2781533000000027
198,3,0.2708887000000011
199,0,0.22577550000000102
199,1,0.1673988000000004
199,2,1.2896756000000025
199,3,0.2730473000000011
200,0,0.22931310000000105
200,1,0.17312610000000062
200,2,1.3421460000000023
200,3,0.2793292000000014
